feature_group,holdout_countries,mean_pr_auc,std_pr_auc,mean_roc_auc,mean_f1,mean_precision,mean_recall
M4_total_import_network,11,0.2783729448406398,0.10562179450567971,0.6490708227562366,0.23227964347563218,0.1738189346884999,0.46709956709956707
M3_external_unweighted_events,11,0.2735917800505799,0.11531087432950886,0.6435541794065878,0.24064332088255533,0.16970544256349884,0.4908008658008658
M1_operational,11,0.2620685394696467,0.11780851768118572,0.6277483403160777,0.21214997124088034,0.15138332987628902,0.43603896103896106
M5_me_strict_network,11,0.2488572318392758,0.09643545681849303,0.6305507075481582,0.20400429374036413,0.14083816710298924,0.464069264069264
